Title,Description,Link,Location,Rooms,Total area,This floor/Number of floors,Built in year,Condition,Ownership,Cadastre no.,Energy mark,Lisainfo,Kitchen,Sanitary arrangements,Heating and ventilation,Communications and security,Neighbourhood,Data from realestate book,Register number,Notify about incorrect advertisement,Kulud suvel/talvel,Number of floors,Additional information
"Apartment for sale, 2 rooms, Rebase tn 25, Karlova, Tartu linn, Tartu, Tartumaa - Real estate portal KV.EE ","Apartment ownership, panel house",https://www.kv.ee/asendiplaaniline-lahendushoone-aadressiga-rebase-2-3383457.html,"58.3679112,26.7470604",2,57.5 m²,5/7,2022,all brand-new,apartment ownership,79508:080:0003,,"balcony 7.9 m², lift, packet windows, parquet, box-room, new electricity",open kitchen,shower,"heated floors, central heating","Internet, cable TV, frontdoor locked",Emajõgi river,,2702003,Notify about incorrect advertisement,,,
"Apartment for sale, 1 rooms, Uus-Sauga 41a, Ülejõe, Pärnu linn, Pärnu, Pärnumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/asukoht-rahulik-elurajoon-maja-korval-bussipeatus-3383430.html,"58.3964697466175,24.4770330539673",1,27.8 m²,3/4,1973,satisfactory,apartment ownership,62502:054:7280,D,"parking free parking, box-room, furnishing possibility, furniture, packet windows, parquet","electric stove, kitchen furniture","bath, washing machine",central heating,"Internet, phone, cable TV, steel door, frontdoor locked","neighbours around neighbours, surrounding buildings private houses and apartment buildings, in the city location, roads in good condition roads",,,,,,
"Apartment for sale, 2 rooms, Tiiru tn 4, Kesklinn, Pärnu linn, Pärnu, Pärnumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/muua-luksuslik-ja-moderne-korter-rannarajoonis-mer-3383427.html,"58.372514,24.5233504",2,47.1 m²,2/2,2017,,apartment ownership,62512:049:0020,Missing,"parking free parking, separate rooms, furniture, packet windows, parquet, wall cupboard, high ceilings, closed courtyard, roof apartment, TV-set, new electricity","open kitchen, refridgerator, kitchen furniture","shower, new sewerage, washing machine","heated floors, central heating","Internet, phone, cable TV, frontdoor locked",,Data from realestate book,,,,,
"Apartment for sale, 3 rooms, Uue Maailma 11, Kesklinn, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house, kitchen area 14 m²",https://www.kv.ee/broneeritud-uue-maailma-linnaasumis-eestiaegses-ki-3383420.html,"59.4251758,24.7414943",3,93 m²,2/3,1927,renovated,apartment ownership,,Missing,"kitchen, dressing room, ventilation, urban water, box-room, wall cupboard, separate rooms, new electricity, closed courtyard, public transport, garage, furnishing possibility, parquet, fenced with garden, roof tin roof","kitchen 14 m², refridgerator","water boiler, toilet room and bathroom separate, shower, bath, new sewerage, washing machine","stove heating, õhksoojuspump, fireplace, fireplace, combined heating","Internet, cable TV, neighbourhood watch, steel door, frontdoor locked",,Data from realestate book,,,,,
"Apartment for sale, 1 rooms, Kase 68, Pirita, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, panel house",https://www.kv.ee/muua-lummavate-vaadetega-1toaline-kodu-rahulikus-j-3383418.html,"59.4544668,24.8433544",1,27.6 m²,5/5,2006,ready,apartment ownership,78402:201:5040,E,"balcony , kitchen, parking free parking, wall cupboard, urban water, electricity, gas, dressing room, ventilation, lift, parquet, near forest, roof tar paper roof","electric stove, open kitchen, refridgerator","shower, washing machine",gas heating,"Internet, frontdoor locked, steel door",,,,,,,
"Apartment for sale, 3 rooms, Paekaare 40, Lasnamäe, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, panel house, kitchen area 9.2 m²",https://www.kv.ee/voib-pakkuda-vahetust-1toalise-vastu-samas-piirkon-3383411.html,"59.4366785,24.8236906",3,66 m²,5/9,1987,,apartment ownership,,E,"balcony , kitchen, parquet, furniture, lift","electric stove, kitchen 9.2 m², refridgerator","toilet room and bathroom separate, bath, washing machine",central heating,"Internet, phone, cable TV, steel door, frontdoor locked",,Data from realestate book,,Notify about incorrect advertisement,,,
"Apartment for sale, 4 rooms, Estonia pst 44, Ahtme, Kohtla-Järve, Ida-Virumaa - Real estate portal KV.EE ","Apartment ownership, panel house",https://www.kv.ee/idavirumaa-kohtlajarve-ahtme-estonia-pst-44-4-tuba-3382624.html,"59.3257649,27.4318206",4,77.5 m²,5/5,1986,Good condition,apartment ownership,32205:002:0008,-,"packet windows, parking free parking, separate rooms","induktsioon pliit, kitchen furniture","toilet room and bathroom separate, bath, washing machine",electric heating,,,,,,,,
"Apartment for sale, 6 rooms, Karsti tn 7, Mustamäe, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, panel house",https://www.kv.ee/muua-kahe-kolmetoalise-korteri-kokkuehitamisel-loo-3377053.html,"59.3947193,24.6414199",6,158.3 m²,3/7,2014,Good condition,apartment ownership,78405:502:0086,C,"balcony 11 m², parking free parking, packet windows, parquet, lift","electric stove, open kitchen, refridgerator, kitchen furniture","toilet room and bathroom separate, shower, bath",central heating,"Internet, cable TV, frontdoor locked","surrounding buildings apartment buildings, location in suburb location, roads in good condition roads, neighbours next to neighbours",,,,,,
"Apartment for sale, 3 rooms, Karsti tn 7, Mustamäe, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, panel house",https://www.kv.ee/muua-avar-kolmetoaline-korter-karsti-uuselamurajoo-3377052.html,"59.3947193,24.6414199",3,79.5 m²,3/7,2014,Good condition,apartment ownership,78405:502:0086,C,"balcony 5.5 m², parking free parking, underground garage, box-room, packet windows, parquet, lift","electric stove, open kitchen, refridgerator, kitchen furniture","shower, toilet room and bathroom separate",central heating,"Internet, cable TV, frontdoor locked","surrounding buildings apartment buildings, location in suburb location, roads in good condition roads, neighbours next to neighbours",,,,,,
"Apartment for sale, 3 rooms, Karsti tn 7, Mustamäe, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, panel house",https://www.kv.ee/muua-avar-kolmetoaline-korter-karsti-uuselamurajoo-3377050.html,"59.3947193,24.6414199",3,78.8 m²,3/7,2014,Good condition,apartment ownership,78405:502:0086,C,"balcony 5.5 m², underground garage, box-room, packet windows, parquet, lift","electric stove, open kitchen, refridgerator, kitchen furniture","bath, toilet room and bathroom separate",central heating,"Internet, cable TV, frontdoor locked","surrounding buildings apartment buildings, location in suburb location, roads in good condition roads, neighbours next to neighbours",,,,,,
"Apartment for sale, 5 rooms, Kaevu 5, Rääma, Pärnu linn, Pärnu, Pärnumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/palun-registreeri-ennast-kliendipaevale-voi-kusi-s-3178035.html,"58.3930542,24.5036904999999",5,85.2 m²,1/5,1971,renovated,apartment ownership,62507:016:8110,Missing,"parking free parking, new electricity, TV-set, furnishing possibility, furniture, packet windows","electric stove, open kitchen, refridgerator, kitchen furniture","shower, new sewerage, water boiler, toilet room and bathroom separate",central heating,"Internet, phone, cable TV, frontdoor locked, steel door","location in the center location, roads in good condition roads, neighbours around neighbours, surrounding buildings private houses and apartment buildings, water body river 100 m",,,,,,
"Apartment for sale, 2 rooms, Niidu, Kassinurme, Jõgeva vald, Jõgevamaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/jogeva-vallas-kassinurme-kulas-muua-renoveeritud-2-3383395.html,"58.7412629,26.3975929",2,40.7 m²,2/2,1969,renovated,apartment ownership,,Missing,"kitchen, urban water, new electricity, TV-set, furniture, parquet, farm building, box-room, roof tin roof","ceramic shove, open kitchen, refridgerator","shower, new sewerage, water boiler, washing machine",õhksoojuspump,steel door,,Data from realestate book,,,,,
"Apartment for sale, 4 rooms, Paepargi tn 33, Lasnamäe, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, panel house",https://www.kv.ee/kliendipaev-12-0013-30-6-novembril-registreerimise-3377312.html,"59.4328549,24.8079704",4,84.4 m²,4/4,2016,renovated,apartment ownership,78403:301:0131,B,"balcony 4.5 m², parking free parking, packet windows, closed balcony, box-room, wall cupboard, new electricity","induktsioon pliit, open kitchen, refridgerator, kitchen furniture","new sewerage, bath, toilet room and bathroom separate",central heating,"Internet, cable TV, video cameras, steel door, frontdoor locked",,,,,,,
"Apartment for sale, 1 rooms, Annelinn, Tartu linn, Tartu, Tartumaa - Real estate portal KV.EE ","Apartment ownership, panel house",https://www.kv.ee/muua-hea-asukohaga-1-toaline-korter-majaskorteris-3383383.html,"58.3680874,26.7689732",1,33.4 m²,,,satisfactory,apartment ownership,79516:025:0016,Missing,"box-room, TV-set, packet windows, parking free parking","gas stove, kitchen 8 m²","bath, toilet room and bathroom separate",central heating,"Internet, phone, cable TV, steel door","roads in good condition roads, in the city location",Data from realestate book,,Notify about incorrect advertisement,,,
"Apartment for sale, 2 rooms, Järveotsa tee 35a, Haabersti, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/jarveotsa-35a-tornmajas-on-muuki-tulnud-3-korruse-3383380.html,"59.4084343,24.6414769",2,56.1 m²,3/14,1985,needs renovating,apartment ownership,78406:603:1330,Missing,"balcony 5.1 m², basement, separate rooms, packet windows, box-room, lift",,,central heating,,"roads in good condition roads, surrounding buildings private houses and apartment buildings, Harku järv lake",,,Notify about incorrect advertisement,,,
"Apartment for sale, 3 rooms, Gonsiori tn 12, Kesklinn, Tallinn, Harjumaa - Real estate portal KV.EE ",Apartment ownership,https://www.kv.ee/id-00098teie-kone-suunatakse-omanikule-kui-helista-3383371.html,"59.434637858214,24.762740130919",3,61.6 m²,5/5,2004,sanitary renovation done,apartment ownership,78401:103:0320,Missing,,,,central heating,,,,,,,,
"Apartment for sale, 2 rooms, Tškalovi 9, Sillamäe, Ida-Virumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/eelregistreerimisega-kliendipaev-03-09-kell-130015-3367443.html,"59.3950028,27.7606921",2,57.9 m²,2/2,1950,all brand-new,apartment ownership,73501:010:0033,F,,"electric stove, refridgerator, kitchen furniture","shower, toilet room and bathroom separate, water boiler, new sewerage, washing machine","heated floors, central heating","steel door, frontdoor locked","surrounding buildings apartment buildings, neighbours next to neighbours, water body sea near",,,,,,"parking free parking, high ceilings, separate rooms, packet windows, parquet, closed balcony, box-room, new electricity"
"Apartment for sale, 2 rooms, Pae tn 23, Lasnamäe, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/muua-paikesekullane-kompaktne-2toaline-korter-pae-3383352.html,"59.4329788,24.8093294",2,34.6 m²,5/5,1970,sanitary renovation needed,apartment ownership,78403:301:2190,Missing,"parking free parking, box-room, new electricity, separate rooms, packet windows","ceramic shove, open kitchen, kitchen furniture","new sewerage, bath, washing machine","electric heating, heated floors, central heating","Internet, cable TV, frontdoor locked, neighbourhood watch, video cameras, steel door","surrounding buildings apartment buildings, neighbours around neighbours, water body: Pae tiik 100 m, roads in good condition roads",,,Notify about incorrect advertisement,,,
"Apartment for sale, 5 rooms, K.A. Hermanni 2, Kesklinn, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/taielikult-renoveeritud-korgem-esimene-korrus-korg-3383319.html,"59.4295648,24.7748738",5,91 m²,5/1,1999,renovated,apartment ownership,,Missing,"balcony 4 m², box-room, separate entryway, TV-set, furnishing possibility","electric stove, kitchen 12 m², kitchen furniture","water boiler, shower","electric heating, combined heating","Internet, cable TV, frontdoor locked",,Data from realestate book,,,,,
"Apartment for sale, 2 rooms, Kivi 3, Klooga, Lääne-Harju vald, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/muua-ilus-ja-avar-2toaline-korterklooga-alevikus-j-3383330.html,"59.3188787,24.2312412",2,46.4 m²,4/5,1987,all brand-new,apartment ownership,29501:009:0149,Missing,"balcony 3 m², parking free parking, box-room, wall cupboard, new electricity, separate rooms, furnishing possibility, furniture, parquet","electric stove, kitchen 8 m², open kitchen, refridgerator, kitchen furniture","shower, water boiler, new sewerage, washing machine",central heating,"Internet, cable TV, frontdoor locked, steel door","Klooga järv lake 200 m, roads in good condition roads, surrounding buildings apartment buildings, location in the center location, neighbours next to neighbours",,,Notify about incorrect advertisement,,,
"Apartment for sale, 3 rooms, Põllu tn, Haljala, Haljala vald, Lääne-Virumaa - Real estate portal KV.EE ","<strong>Lisainfo:</strong> parking free parking, box-room, separate rooms, furnishing possibility, furniture, packet windows, parquet ",https://www.kv.ee/muua-3toaline-keskkuttega-korter-haljalas-toad-era-3383316.html,"59.4320155642413,26.2596927227539",3,58 m²,3/3,,satisfactory,,19002:003:1230,E,,,"shower, toilet room and bathroom separate, water boiler",central heating,"Internet, cable TV, frontdoor locked","roads in good condition roads, surrounding buildings apartment buildings",Data from realestate book,,Notify about incorrect advertisement,,,
"Apartment for sale, 3 rooms, Rõugu tn 1/1, Haabersti, Tallinn, Harjumaa - Real estate portal KV.EE ","Private ownership, stone house",https://www.kv.ee/muua-3-toaline-sisekujundaja-poolt-disainitud-kort-3383059.html,"59.4278112,24.6181229",3,86.7 m²,2/3,2016,all brand-new,private property,,B,"closed courtyard, box-room, wall cupboard, separate rooms, furniture, parquet","electric stove, open kitchen, refridgerator, kitchen furniture","shower, bath, toilet room and bathroom separate, washing machine",gas heating,"Internet, cable TV, frontdoor locked, neighbourhood watch","neighbours next to neighbours, in the city location, roads in good condition roads, surrounding buildings apartment buildings, harku järv lake",,,,80 € /  120 €,,
"Apartment for sale, 3 rooms, Tagala tn 10, Haabersti, Tallinn, Harjumaa - Real estate portal KV.EE ","<strong>Lisainfo:</strong> balcony 3.5 m², parquet, lift, parking free parking, box-room, wall cupboard, separate rooms, furniture ",https://www.kv.ee/muua-uuevaarne-3toaline-korter-kogu-sisustusega-ke-3382333.html,"59.4034544,24.6165082",3,66.8 m²,3/4,2020,all brand-new,,78401:101:0823,B,,,"toilet room and bathroom separate, bath, washing machine",heated floors,frontdoor locked,"surrounding buildings apartment buildings, roads in good condition roads, neighbours around neighbours, Harku lake",Data from realestate book,,,,,
"Apartment for sale, 3 rooms, Võidu tn 56, Nõmme, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, panel house",https://www.kv.ee/uus-pakkumine-turul-muuki-on-lisandunud-rahulikus-3383312.html,"59.3751474,24.7115779",3,65.6 m²,9/9,1979,Good condition,apartment ownership,78404:405:4280,E,"balcony 3 m², parking free parking, furniture, packet windows, parquet, lift, closed balcony","electric stove, kitchen 8 m², open kitchen, refridgerator, kitchen furniture","shower, washing machine",central heating,"Internet, phone, cable TV, steel door, frontdoor locked","surrounding buildings private houses and apartment buildings, location in suburb location, roads in good condition roads, neighbours at one side neighbours",,,Notify about incorrect advertisement,,,
"Apartment for sale, 2 rooms, Haapsalu mnt., Keila, Harjumaa - Real estate portal KV.EE ","Apartment ownership, wooden house",https://www.kv.ee/kortermuua-laeienemisvoimalusega-renoveeritud-katu-3383289.html,,2,47.4 m²,3/3,1952,Good condition,apartment ownership,,-,"separate rooms, packet windows, parquet, parking free parking, box-room, garret, new electricity, separate entryway, roof apartment","ceramic shove, open kitchen, kitchen furniture","shower, water boiler, new sewerage","electric heating, stove heating, heated floors, fireplace",frontdoor locked,"surrounding buildings private houses, location in the center location, water body water body other near",Data from realestate book,,,,,
"Apartment for sale, 3 rooms, E.Vilde tee  82, Mustamäe, Tallinn, Harjumaa - Real estate portal KV.EE ",Apartment ownership,https://www.kv.ee/maja-fassaad-on-renoveeritud-ja-koridorid-remondit-3383300.html,"59.40526575,24.680043451596",3,67 m²,9/9,1972,,apartment ownership,,D,,,,,,,Data from realestate book,,Notify about incorrect advertisement,,,
"Apartment for sale, 2 rooms, Retke tee 30, Mustamäe, Tallinn, Harjumaa - Real estate portal KV.EE ",Apartment ownership,https://www.kv.ee/korterkorter-asub-esimesel-korrusel-ning-tubadest-3383299.html,"59.39907,24.704142189713",2,44.4 m²,1/9,1988,,apartment ownership,,E,,,,,,,Data from realestate book,,Notify about incorrect advertisement,,,
"Apartment for sale, 2 rooms, Tamme tn 5, Väike-Maarja, Väike-Maarja vald, Lääne-Virumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/kortermuugis-olev-korter-asub-3korruselise-maja-te-3383295.html,"59.1299952,26.2473446",2,43.4 m²,2/3,1975,Good condition,apartment ownership,92702:002:0006,-,"parking free parking, box-room, furniture, packet windows, parquet",kitchen furniture,"shower, water boiler, washing machine",õhksoojuspump,"Internet, cable TV, frontdoor locked","neighbours next to neighbours, surrounding buildings private houses and apartment buildings, location in the center location, roads in good condition roads",,,,,,
"Apartment for sale, 3 rooms, Rahu tn 32, Narva, Ida-Virumaa - Real estate portal KV.EE ","Apartment ownership, panel house",https://www.kv.ee/idavirumaa-narva-rahu-tn-32-3-tuba-79-korteriomand-3383288.html,,3,65.8 m²,7/9,1990,Good condition,apartment ownership,,Missing,"new electricity, separate rooms, packet windows, parquet, lift, closed balcony","electric stove, kitchen furniture","bath, toilet room and bathroom separate, new sewerage",central heating,"Internet, cable TV, steel door, frontdoor locked","neighbours around neighbours, surrounding buildings apartment buildings, in the city location, roads in good condition roads",Data from realestate book,,,,,
"Apartment for sale, 2 rooms, Niidu 2, Jõhvi linn, Jõhvi vald, Ida-Virumaa - Real estate portal KV.EE ",Private ownership,https://www.kv.ee/bol-sdeln-kpremont-no-seits-nuzno-obnovitb-okn-pls-3383281.html,"59.362371,27.4080394",2,38.8 m²,,,sanitary renovation needed,private property,,-,"parking free parking, box-room, basement, TV-set, furnishing possibility",gas stove,bath,central heating,"Internet, phone, cable TV, neighbourhood watch, steel door, frontdoor locked","surrounding buildings apartment buildings, in the city location",Data from realestate book,,Notify about incorrect advertisement,,,
"Apartment for sale, 4 rooms, Vilja tn 8a, Võru, Võrumaa - Real estate portal KV.EE ",Panel house,https://www.kv.ee/muua-heas-seisukorras-maja-labiva-planeeringuga-4-3383274.html,"57.8492656,27.0075653",4,75.8 m²,4/5,1979,Good condition,,91901:004:0017,-,"parking free parking, separate rooms, furnishing possibility","electric stove, kitchen furniture","shower, toilet room and bathroom separate",central heating,"Internet, cable TV, steel door, frontdoor locked","surrounding buildings private houses and apartment buildings, location in suburb location, roads in good condition roads",Data from realestate book,,,,,
"Apartment for sale, 3 rooms, Mihkli 2b, Ülejõe, Pärnu linn, Pärnu, Pärnumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/muuki-tuli-super-asukohas-renoveeritud-majas-ilus-3383269.html,"58.3930054,24.4894389",3,57.5 m²,2/4,1968,renovated,apartment ownership,,D,"kitchen, public transport, box-room, dressing room, roof tin roof","electric stove, refridgerator",shower,central heating,"steel door, frontdoor locked",,Data from realestate book,,,,,
"Apartment for sale, 3 rooms, Pikk tn 18, Värska, Setomaa vald, Võrumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/muuki-on-tulnud-heas-korras-3-toaline-valguskullan-3383268.html,"57.9571316,27.6350285",3,48.7 m²,2/2,,Good condition,apartment ownership,93401:003:0063,Missing,"furnishing possibility, furniture, packet windows, parquet",,,,,,Data from realestate book,,,,,
"Apartment for sale, 3 rooms, Põhja pst 21b, Põhja-Tallinn, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/muua-hubane-3toaline-katusekorter-ilmarise-kvartal-3383265.html,"59.4444868,24.7460771",3,73.4 m²,3/3,1998,renovated,apartment ownership,78408:801:3620,-,"separate rooms, wall cupboard, roof apartment","electric stove, open kitchen, refridgerator, kitchen furniture","sauna, shower, washing machine",central heating,"frontdoor locked, steel door",,,,,,,
"Apartment for sale, 3 rooms, Elva tee 13, Rannu, Elva vald, Tartumaa - Real estate portal KV.EE ","Private ownership, stone house",https://www.kv.ee/muua-tartust-25-30-minuti-autosoidu-kaugusel-rannu-3156631.html,"58.2395081,26.2233927",3,65.6 m²,5/5,1986,renovated,private property,66601:008:0074,E,"balcony 2 m², parking free parking, new electricity, separate rooms, packet windows, parquet","electric stove, kitchen 9 m², refridgerator","water boiler, toilet room and bathroom separate, bath, shower",central heating,"frontdoor locked, neighbourhood watch","location in the center location, Võrtsjärv lake , roads in good condition roads, neighbours around neighbours, surrounding buildings apartment buildings",,,Notify about incorrect advertisement,,,
"Apartment for sale, 1 rooms, A. H. Tammsaare tee 103, Mustamäe, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, panel house",https://www.kv.ee/muugile-on-tulnud-vaga-hea-asukohaga-1toaline-kort-3383258.html,"59.407255,24.6890153",1,29.8 m²,1/5,1968,renovated,apartment ownership,78405:501:3880,E,"kitchen, electricity, dressing room, new electricity, furniture","electric stove, refridgerator","shower, washing machine",central heating,"Internet, neighbourhood watch, steel door, frontdoor locked",,,,,,,
"Apartment for sale, 2 rooms, Linnamäe tee 2, Lasnamäe, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, panel house",https://www.kv.ee/muua-2toaline-korter-lasnamael-linnamae-tee-2-kort-3383250.html,"59.4486789,24.8662713",2,51.4 m²,1/9,1987,Good condition,apartment ownership,78403:307:0610,F,"balcony 1 m², packet windows, separate rooms, parquet, lift, parking free parking","electric stove, refridgerator, kitchen furniture","shower, bath",central heating,"phone, frontdoor locked, steel door",,,,,,,
"Apartment for sale, 2 rooms, Põhja 20, Keila, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/muua-hea-planeeringuga-korter-keila-linnas-korter-3383240.html,"59.3123791,24.4195522",2,45 m²,3/4,1969,sanitary renovation needed,apartment ownership,,E,"water, parquet, furnishing possibility, electricity, basement, box-room, separate rooms",kitchen furniture,"toilet room and bathroom separate, bath, shower",central heating,"frontdoor locked, steel door",,Data from realestate book,,,,,
"Apartment for sale, 2 rooms, Suur 58, Jõgeva linn, Jõgeva vald, Jõgevamaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/ilusate-vaadetega-hubane-korterkorter2toaline-labi-3383236.html,"58.7423467,26.3837273",2,46.1 m²,5/5,,renovated,apartment ownership,,D,"balcony 3 m², separate rooms, parking free parking, box-room, packet windows","ceramic shove, kitchen furniture","new sewerage, bath, toilet room and bathroom separate",central heating,"frontdoor locked, steel door",,Data from realestate book,,Notify about incorrect advertisement,,,
"Apartment for sale, 1 rooms, A. Daumani 4, Narva, Ida-Virumaa - Real estate portal KV.EE ","<strong>Additional information:</strong> box-room, wall cupboard, new electricity, packet windows, parquet ",https://www.kv.ee/idavirumaa-narva-a-daumani-444-1-tuba-55-32-m-ehit-3355504.html,"59.3859441343628,28.1765001793457",1,32 m²,5/5,1990,renovated,,,-,,,,,,,Data from realestate book,,Notify about incorrect advertisement,,,
"Apartment for sale, 4 rooms, Kaupmehe tn 7, Kesklinn, Tallinn, Harjumaa - Real estate portal KV.EE ","<strong>Additional information:</strong> balcony 2 m², underground garage, box-room, wall cupboard, high ceilings, closed courtyard, TV-set, terrace, separate rooms, furnishing possibility, furniture, parquet, lift, garage ",https://www.kv.ee/suureparane-voimalus-osta-arhitekti-ingar-fjuk-ja-3328466.html,"59.430448,24.7543487",4,125 m²,6/8,2007,Good condition,,78401:105:0040,Missing,,,,,,,Data from realestate book,,,,,
"Apartment for sale, 3 rooms, Juhtme tn 26, Peetri, Rae vald, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/muua-avar-soe-ja-hubane-korter-peetris-korter-on-a-3337293.html,"59.4041974,24.8185877",3,84.1 m²,2/3,1988,renovated,apartment ownership,65301:002:0163,-,"parking free parking, packet windows",open kitchen,"bath, sauna",electric heating,frontdoor locked,,,,,,,
"Apartment for sale, 1 rooms, Keemikute tn 39, Maardu, Harjumaa - Real estate portal KV.EE ","<strong>Lisainfo:</strong> parking free parking, furniture ",https://www.kv.ee/muua-1toaline-korter-maardus-keemikute-39-korteri-3383215.html,"59.48358,25.0170452",1,28.4 m²,1/5,1974,,,,F,,,"toilet room and bathroom separate, bath",central heating,"frontdoor locked, neighbourhood watch",,Data from realestate book,,Notify about incorrect advertisement,,,
"Apartment for sale, 3 rooms, Vahulille tee 6, Pirita, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/muua-modernne-perekodu-pirital-majakolmekorruselin-3330458.html,"59.4619986,24.8786409",3,75.9 m²,2/3,2017,Good condition,apartment ownership,78402:208:0124,B,"balcony 5.2 m², wall cupboard, box-room, underground garage, parking free parking, furniture, packet windows, parquet, closed balcony, garage, separate rooms, furnishing possibility","induktsioon pliit, open kitchen, refridgerator, kitchen furniture","shower, bath, washing machine","heated floors, central heating","Internet, frontdoor locked, steel door",,,,,,,
"Apartment for sale, 2 rooms, Mõisa allee 3, Triigi, Väike-Maarja vald, Lääne-Virumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/triigi-moisa-ja-moisapargi-korval-muua-2toaline-ko-3383199.html,"59.1160142,26.3339697",2,41.3 m²,,1971,satisfactory,apartment ownership,92703:001:0058,Missing,"packet windows, parquet, parking free parking, box-room, furniture",kitchen furniture,"shower, water boiler, washing machine","central heating, stove heating",,"roads in good condition roads, surrounding buildings private houses and apartment buildings",,,,,2,
"Apartment for sale, 2 rooms, Ehitajate tn 7, Viiratsi, Viljandi vald, Viljandimaa - Real estate portal KV.EE ","Apartment ownership, panel house",https://www.kv.ee/lisa-info-2-rodu-tasuta-parkimine-keldribokskook-k-3383160.html,"58.35904,25.643236",2,52.6 m²,4/4,1974,renovated,apartment ownership,89201:002:0970,C,"parking free parking, TV-set, separate rooms, packet windows, parquet",kitchen furniture,"bath, toilet room and bathroom separate, shower",central heating,"Internet, phone, cable TV, frontdoor locked",,,,Notify about incorrect advertisement,,,
"Apartment for sale, 1 rooms, Aisa tn 39, Rannarajoon, Pärnu linn, Pärnu, Pärnumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/muua-mugava-planeeringuga-1toaline-rodu-ja-saunaga-3383171.html,"58.3765243,24.5158116",1,33.3 m²,2/3,2014,,apartment ownership,,A,"balcony , kitchen, public transport, wall cupboard, new electricity, closed courtyard, urban water, electricity, TV-set, furniture, parquet, ventilation, lift, fenced with garden, near forest, roof tar paper roof","electric stove, open kitchen, refridgerator","new sewerage, shower, sauna","heated floors, central heating","frontdoor locked, video cameras, steel door",,Data from realestate book,,Notify about incorrect advertisement,,,
"Apartment for sale, 1 rooms, Ehitajate tee 51, Mustamäe, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/kortermuua-avara-planeeringuga-1-toaline-korter-mu-2931449.html,"59.4035268,24.6680311",1,31.7 m²,4/5,1963,renovated,apartment ownership,78405:501:2914,,"balcony 2.5 m², parking free parking, furnishing possibility, packet windows","gas stove, kitchen 6.2 m², refridgerator, kitchen furniture","bath, washing machine",central heating,"Internet, cable TV, steel door, video cameras, neighbourhood watch, frontdoor locked","roads in good condition roads, surrounding buildings apartment buildings, neighbours around neighbours",,7630701,Notify about incorrect advertisement,,,
"Apartment for sale, 1 rooms, Aisa tn 39, Rannarajoon, Pärnu linn, Pärnu, Pärnumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/muua-paikesepoolne-1toaline-roduga-korter-esindusl-3383170.html,"58.3765243,24.5158116",1,24.2 m²,2/3,2014,,apartment ownership,,A,"balcony , public transport, wall cupboard, new electricity, electricity, TV-set, furniture, parquet, ventilation, lift, closed courtyard, urban water, fenced with garden, near forest, roof tar paper roof",,"new sewerage, shower","central heating, heated floors","frontdoor locked, video cameras, steel door",,Data from realestate book,,Notify about incorrect advertisement,,,
